tile_index,jis_code,unicode,character,file_offset
0,0x3021,U+4E9C,亜,0x1CEC4
1,0x3022,U+5516,唖,0x1CF04
2,0x3023,U+5A03,娃,0x1CF44
3,0x3024,U+963F,阿,0x1CF84
4,0x3025,U+54C0,哀,0x1CFC4
5,0x3026,U+611B,愛,0x1D004
6,0x3027,U+6328,挨,0x1D044
7,0x3028,U+59F6,姶,0x1D084
8,0x3029,U+9022,逢,0x1D0C4
9,0x302A,U+8475,葵,0x1D104
10,0x302B,U+831C,茜,0x1D144
11,0x302C,U+7A50,穐,0x1D184
12,0x302D,U+60AA,悪,0x1D1C4
13,0x302E,U+63E1,握,0x1D204
14,0x302F,U+6E25,渥,0x1D244
15,0x3030,U+65ED,旭,0x1D284
16,0x3031,U+8466,葦,0x1D2C4
17,0x3032,U+82A6,芦,0x1D304
18,0x3033,U+9BF5,鯵,0x1D344
19,0x3034,U+6893,梓,0x1D384
20,0x3035,U+5727,圧,0x1D3C4
21,0x3036,U+65A1,斡,0x1D404
22,0x3037,U+6271,扱,0x1D444
23,0x3038,U+5B9B,宛,0x1D484
24,0x3039,U+59D0,姐,0x1D4C4
25,0x303A,U+867B,虻,0x1D504
26,0x303B,U+98F4,飴,0x1D544
27,0x303C,U+7D62,絢,0x1D584
28,0x303D,U+7DBE,綾,0x1D5C4
29,0x303E,U+9B8E,鮎,0x1D604
30,0x303F,U+6216,或,0x1D644
31,0x3040,U+7C9F,粟,0x1D684
32,0x3041,U+88B7,袷,0x1D6C4
33,0x3042,U+5B89,安,0x1D704
34,0x3043,U+5EB5,庵,0x1D744
35,0x3044,U+6309,按,0x1D784
36,0x3045,U+6697,暗,0x1D7C4
37,0x3046,U+6848,案,0x1D804
38,0x3047,U+95C7,闇,0x1D844
39,0x3048,U+978D,鞍,0x1D884
40,0x3049,U+674F,杏,0x1D8C4
41,0x304A,U+4EE5,以,0x1D904
42,0x304B,U+4F0A,伊,0x1D944
43,0x304C,U+4F4D,位,0x1D984
44,0x304D,U+4F9D,依,0x1D9C4
45,0x304E,U+5049,偉,0x1DA04
46,0x304F,U+56F2,囲,0x1DA44
47,0x3050,U+5937,夷,0x1DA84
48,0x3051,U+59D4,委,0x1DAC4
49,0x3052,U+5A01,威,0x1DB04
50,0x3053,U+5C09,尉,0x1DB44
51,0x3054,U+60DF,惟,0x1DB84
52,0x3055,U+610F,意,0x1DBC4
53,0x3056,U+6170,慰,0x1DC04
54,0x3057,U+6613,易,0x1DC44
55,0x3058,U+6905,椅,0x1DC84
56,0x3059,U+70BA,為,0x1DCC4
57,0x305A,U+754F,畏,0x1DD04
58,0x305B,U+7570,異,0x1DD44
59,0x305C,U+79FB,移,0x1DD84
60,0x305D,U+7DAD,維,0x1DDC4
61,0x305E,U+7DEF,緯,0x1DE04
62,0x305F,U+80C3,胃,0x1DE44
63,0x3060,U+840E,萎,0x1DE84
64,0x3061,U+8863,衣,0x1DEC4
65,0x3062,U+8B02,謂,0x1DF04
66,0x3063,U+9055,違,0x1DF44
67,0x3064,U+907A,遺,0x1DF84
68,0x3065,U+533B,医,0x1DFC4
69,0x3066,U+4E95,井,0x1E004
70,0x3067,U+4EA5,亥,0x1E044
71,0x3068,U+57DF,域,0x1E084
72,0x3069,U+80B2,育,0x1E0C4
73,0x306A,U+90C1,郁,0x1E104
74,0x306B,U+78EF,磯,0x1E144
75,0x306C,U+4E00,一,0x1E184
76,0x306D,U+58F1,壱,0x1E1C4
77,0x306E,U+6EA2,溢,0x1E204
78,0x306F,U+9038,逸,0x1E244
79,0x3070,U+7A32,稲,0x1E284
80,0x3071,U+8328,茨,0x1E2C4
81,0x3072,U+828B,芋,0x1E304
82,0x3073,U+9C2F,鰯,0x1E344
83,0x3074,U+5141,允,0x1E384
84,0x3075,U+5370,印,0x1E3C4
85,0x3076,U+54BD,咽,0x1E404
86,0x3077,U+54E1,員,0x1E444
87,0x3078,U+56E0,因,0x1E484
88,0x3079,U+59FB,姻,0x1E4C4
89,0x307A,U+5F15,引,0x1E504
90,0x307B,U+98F2,飲,0x1E544
91,0x307C,U+6DEB,淫,0x1E584
92,0x307D,U+80E4,胤,0x1E5C4
93,0x307E,U+852D,蔭,0x1E604
