order,korean,unicode,sjis_code,replaced_kanji,glyph_index,byte_offset
0,가,U+AC00,0x989F,弌,6110,0x4CB70
1,각,U+AC01,0x98A2,个,6113,0x4CC1C
2,간,U+AC04,0x98A5,丼,6116,0x4CCAC
3,갇,U+AC07,0x98AA,亂,6121,0x4CDB8
4,갈,U+AC08,0x98AD,亊,6124,0x4CE40
5,갉,U+AC09,0x98AE,舒,6125,0x4CE7C
6,갊,U+AC0A,0x98B0,于,6127,0x4CEF0
7,감,U+AC10,0x98B1,亞,6128,0x4CF2C
8,갑,U+AC11,0x98B4,亢,6131,0x4CFD8
9,값,U+AC12,0x98B6,亳,6133,0x4D04C
10,갓,U+AC13,0x98B7,亶,6134,0x4D088
11,갔,U+AC14,0x98B8,从,6135,0x4D0C4
12,강,U+AC15,0x98BB,仆,6138,0x4D170
13,갖,U+AC16,0x98C0,仟,6143,0x4D28C
14,갗,U+AC17,0x98C1,价,6144,0x4D2C8
15,같,U+AC19,0x98C2,伉,6145,0x4D304
16,갚,U+AC1A,0x98C3,佚,6146,0x4D340
17,갛,U+AC1B,0x98C4,估,6147,0x4D37C
18,개,U+AC1C,0x98C5,佛,6148,0x4D3B8
19,객,U+AC1D,0x98C7,佗,6150,0x4D42C
20,갠,U+AC20,0x98C8,佇,6151,0x4D468
21,갤,U+AC24,0x98C9,佶,6152,0x4D4A4
22,갬,U+AC2C,0x98CA,侈,6153,0x4D4E0
23,갭,U+AC2D,0x98CB,侏,6154,0x4D51C
24,갯,U+AC2F,0x98CC,侘,6155,0x4D558
25,갰,U+AC30,0x98CD,佻,6156,0x4D594
26,갱,U+AC31,0x98CE,佩,6157,0x4D5D0
27,갸,U+AC38,0x98CF,佰,6158,0x4D60C
28,갹,U+AC39,0x98D0,侑,6159,0x4D648
29,갼,U+AC3C,0x98D1,佯,6160,0x4D684
30,걀,U+AC40,0x98D3,侖,6162,0x4D6F8
31,걋,U+AC4B,0x98D4,儘,6163,0x4D734
32,걍,U+AC4D,0x98D5,俔,6164,0x4D770
33,걔,U+AC54,0x98D7,俎,6166,0x4D7E4
34,걘,U+AC58,0x98D8,俘,6167,0x4D820
35,걜,U+AC5C,0x98D9,俛,6168,0x4D85C
36,거,U+AC70,0x98DB,俚,6170,0x4D8D0
37,걱,U+AC71,0x98DD,俤,6172,0x4D944
38,건,U+AC74,0x98DE,俥,6173,0x4D980
39,걷,U+AC77,0x98DF,倚,6174,0x4D9BC
40,걸,U+AC78,0x98E0,倨,6175,0x4D9F8
41,걺,U+AC7A,0x98E2,倪,6177,0x4DA6C
42,검,U+AC80,0x98E3,倥,6178,0x4DAA8
43,겁,U+AC81,0x98E4,倅,6179,0x4DAE4
44,것,U+AC83,0x98E5,伜,6180,0x4DB20
45,겄,U+AC84,0x98E8,倩,6183,0x4DBCC
46,겅,U+AC85,0x98E9,倬,6184,0x4DC08
47,겆,U+AC86,0x98EA,俾,6185,0x4DC44
48,겉,U+AC89,0x98EB,俯,6186,0x4DC80
49,겊,U+AC8A,0x98ED,倆,6188,0x4DCF4
50,겋,U+AC8B,0x98EE,偃,6189,0x4DD30
51,게,U+AC8C,0x98F0,會,6191,0x4DDA4
52,겐,U+AC90,0x98F1,偕,6192,0x4DDE0
53,겔,U+AC94,0x98F2,偐,6193,0x4DE1C
54,겜,U+AC9C,0x98F4,做,6195,0x4DE90
55,겝,U+AC9D,0x98F5,偖,6196,0x4DECC
56,겟,U+AC9F,0x98F6,偬,6197,0x4DF08
57,겠,U+ACA0,0x98F7,偸,6198,0x4DF44
58,겡,U+ACA1,0x98F9,傚,6200,0x4DFB8
59,겨,U+ACA8,0x98FA,傅,6201,0x4DFF4
60,격,U+ACA9,0x98FB,傴,6202,0x4E030
61,겪,U+ACAA,0x98FC,傲,6203,0x4E06C
62,견,U+ACAC,0x9940,僉,6271,0x4E5DC
63,겯,U+ACAF,0x9941,僊,6272,0x4E618
64,결,U+ACB0,0x9942,傳,6273,0x4E654
65,겸,U+ACB8,0x9943,僂,6274,0x4E690
66,겹,U+ACB9,0x9944,僖,6275,0x4E6CC
67,겻,U+ACBB,0x9946,僥,6277,0x4E740
68,겼,U+ACBC,0x9947,僭,6278,0x4E77C
69,경,U+ACBD,0x9948,僣,6279,0x4E7B8
70,곁,U+ACC1,0x9949,僮,6280,0x4E7F4
71,계,U+ACC4,0x994A,價,6281,0x4E830
72,곈,U+ACC8,0x994B,僵,6282,0x4E86C
73,곌,U+ACCC,0x994D,儁,6284,0x4E8E0
74,곕,U+ACD5,0x994F,儖,6286,0x4E954
75,곗,U+ACD7,0x9950,儕,6287,0x4E990
76,고,U+ACE0,0x9951,儔,6288,0x4E9CC
77,곡,U+ACE1,0x9952,儚,6289,0x4EA08
78,곤,U+ACE4,0x9954,儺,6291,0x4EA7C
79,곧,U+ACE7,0x9955,儷,6292,0x4EAB8
80,골,U+ACE8,0x9956,儼,6293,0x4EAF4
81,곪,U+ACEA,0x9957,儻,6294,0x4EB30
82,곬,U+ACEC,0x9958,儿,6295,0x4EB6C
83,곯,U+ACEF,0x9959,兀,6296,0x4EBA8
84,곰,U+ACF0,0x995A,兒,6297,0x4EBE4
85,곱,U+ACF1,0x995B,兌,6298,0x4EC20
86,곳,U+ACF3,0x995C,兔,6299,0x4EC5C
87,공,U+ACF5,0x995D,兢,6300,0x4EC98
88,곶,U+ACF6,0x995E,竸,6301,0x4ECD4
89,과,U+ACFC,0x995F,兩,6302,0x4ED10
90,곽,U+ACFD,0x9961,兮,6304,0x4ED84
91,관,U+AD00,0x9965,册,6308,0x4EE68
92,괄,U+AD04,0x9966,冉,6309,0x4EEA4
93,괆,U+AD06,0x9969,冓,6312,0x4EF50
94,괌,U+AD0C,0x996B,冖,6314,0x4EFC4
95,괍,U+AD0D,0x996C,冤,6315,0x4F000
96,괏,U+AD0F,0x996D,冦,6316,0x4F03C
97,광,U+AD11,0x9970,冪,6319,0x4F0E8
98,괘,U+AD18,0x9973,冱,6322,0x4F178
99,괜,U+AD1C,0x9976,况,6325,0x4F224
100,괠,U+AD20,0x997A,凛,6329,0x4F308
101,괩,U+AD29,0x997B,几,6330,0x4F344
102,괬,U+AD2C,0x997D,凩,6332,0x4F3B8
103,괭,U+AD2D,0x997E,凭,6333,0x4F3F4
104,괴,U+AD34,0x9980,凰,6335,0x4F444
105,괵,U+AD35,0x998C,剏,6347,0x4F6E8
106,괸,U+AD38,0x998E,剋,6349,0x4F75C
107,괼,U+AD3C,0x9994,剩,6355,0x4F8B0
108,굄,U+AD44,0x9999,劔,6360,0x4F9CC
109,굅,U+AD45,0x999B,剱,6362,0x4FA40
110,굇,U+AD47,0x999C,劈,6363,0x4FA7C
111,굉,U+AD49,0x999E,辨,6365,0x4FAF0
112,교,U+AD50,0x999F,辧,6366,0x4FB2C
113,굔,U+AD54,0x99AA,飭,6377,0x4FD98
114,굘,U+AD58,0x99B5,匏,6388,0x50004
115,굡,U+AD61,0x99BE,卆,6397,0x501F8
116,굣,U+AD63,0x99C0,丗,6399,0x5026C
117,구,U+AD6C,0x99C1,卉,6400,0x502A8
118,국,U+AD6D,0x99C6,卮,6405,0x503B4
119,군,U+AD70,0x99CB,厖,6410,0x504D0
120,굳,U+AD73,0x99CC,厠,6411,0x5050C
121,굴,U+AD74,0x99CE,厥,6413,0x50580
122,굵,U+AD75,0x99D0,厰,6415,0x505F4
123,굶,U+AD76,0x99D1,厶,6416,0x50630
124,굻,U+AD7B,0x99D8,叮,6423,0x507BC
125,굼,U+AD7C,0x99DA,叭,6425,0x50830
126,굽,U+AD7D,0x99DB,叺,6426,0x5086C
127,굿,U+AD7F,0x99DC,吁,6427,0x508A8
128,궁,U+AD81,0x99DD,吽,6428,0x508E4
129,궂,U+AD82,0x99DE,呀,6429,0x50920
130,궈,U+AD88,0x99DF,听,6430,0x5095C
131,궉,U+AD89,0x99E0,吭,6431,0x50998
132,권,U+AD8C,0x99E1,吼,6432,0x509D4
133,궐,U+AD90,0x99E2,吮,6433,0x50A10
134,궜,U+AD9C,0x99E4,吩,6435,0x50A84
135,궝,U+AD9D,0x99E5,吝,6436,0x50AC0
136,궤,U+ADA4,0x99E8,呵,6439,0x50B6C
137,궷,U+ADB7,0x99E9,咎,6440,0x50BA8
138,귀,U+ADC0,0x99EA,呟,6441,0x50BE4
139,귁,U+ADC1,0x99ED,呰,6444,0x50C90
140,귄,U+ADC4,0x99EE,咒,6445,0x50CCC
141,귈,U+ADC8,0x99F0,咀,6447,0x50D40
142,귐,U+ADD0,0x99F3,咐,6450,0x50DEC
143,귑,U+ADD1,0x99F4,咆,6451,0x50E28
144,귓,U+ADD3,0x99F5,哇,6452,0x50E64
145,규,U+ADDC,0x99F7,咸,6454,0x50ED8
146,균,U+ADE0,0x99F8,咥,6455,0x50F14
147,귤,U+ADE4,0x99F9,咬,6456,0x50F50
148,그,U+ADF8,0x99FA,哄,6457,0x50F8C
149,극,U+ADF9,0x9A41,哂,6528,0x515A4
150,근,U+ADFC,0x9A42,咤,6529,0x515E0
151,귿,U+ADFF,0x9A43,咾,6530,0x5161C
152,글,U+AE00,0x9A45,哘,6532,0x51690
153,긁,U+AE01,0x9A46,哥,6533,0x516CC
154,금,U+AE08,0x9A47,哦,6534,0x51708
155,급,U+AE09,0x9A48,唏,6535,0x51744
156,긋,U+AE0B,0x9A49,唔,6536,0x51780
157,긍,U+AE0D,0x9A4A,哽,6537,0x517BC
158,긔,U+AE14,0x9A4B,哮,6538,0x517F8
159,기,U+AE30,0x9A4C,哭,6539,0x51834
160,긱,U+AE31,0x9A4D,哺,6540,0x51870
161,긴,U+AE34,0x9A4E,哢,6541,0x518AC
162,긷,U+AE37,0x9A4F,唹,6542,0x518E8
163,길,U+AE38,0x9A50,啀,6543,0x51924
164,긺,U+AE3A,0x9A52,啌,6545,0x51998
165,김,U+AE40,0x9A55,啅,6548,0x51A44
166,깁,U+AE41,0x9A58,唸,6551,0x51AF0
167,깃,U+AE43,0x9A5B,喙,6554,0x51B9C
168,깅,U+AE45,0x9A5E,喊,6557,0x51C48
169,깆,U+AE46,0x9A5F,喟,6558,0x51C84
170,깊,U+AE4A,0x9A61,啾,6560,0x51CF8
171,까,U+AE4C,0x9A62,喘,6561,0x51D34
172,깍,U+AE4D,0x9A63,喞,6562,0x51D70
173,깎,U+AE4E,0x9A64,單,6563,0x51DAC
174,깐,U+AE50,0x9A65,啼,6564,0x51DE8
175,깔,U+AE54,0x9A66,喃,6565,0x51E24
176,깖,U+AE56,0x9A67,喩,6566,0x51E60
177,깜,U+AE5C,0x9A69,喨,6568,0x51ED4
178,깝,U+AE5D,0x9A6A,嗚,6569,0x51F10
179,깟,U+AE5F,0x9A6B,嗅,6570,0x51F4C
180,깠,U+AE60,0x9A6C,嗟,6571,0x51F88
181,깡,U+AE61,0x9A6D,嗄,6572,0x51FC4
182,깥,U+AE65,0x9A6E,嗜,6573,0x52000
183,깨,U+AE68,0x9A6F,嗤,6574,0x5203C
184,깩,U+AE69,0x9A70,嗔,6575,0x52078
185,깬,U+AE6C,0x9A71,嘔,6576,0x520B4
186,깰,U+AE70,0x9A72,嗷,6577,0x520F0
187,깸,U+AE78,0x9A73,嘖,6578,0x5212C
188,깹,U+AE79,0x9A75,嗽,6580,0x521A0
189,깻,U+AE7B,0x9A76,嘛,6581,0x521DC
190,깼,U+AE7C,0x9A77,嗹,6582,0x52218
191,깽,U+AE7D,0x9A78,噎,6583,0x52254
192,꺄,U+AE84,0x9A7B,嘴,6586,0x52300
193,꺅,U+AE85,0x9A7C,嘶,6587,0x5233C
194,꺌,U+AE8C,0x9A7E,嘸,6589,0x523B0
195,꺼,U+AEBC,0x9A82,嘯,6593,0x52470
196,꺽,U+AEBD,0x9A83,噬,6594,0x524AC
197,꺾,U+AEBE,0x9A84,噪,6595,0x524E8
198,껀,U+AEC0,0x9A85,嚆,6596,0x52524
199,껄,U+AEC4,0x9A86,嚀,6597,0x52560
200,껌,U+AECC,0x9A87,嚊,6598,0x5259C
201,껍,U+AECD,0x9A89,嚔,6600,0x52610
202,껏,U+AECF,0x9A8A,嚏,6601,0x5264C
203,껐,U+AED0,0x9A8B,嚥,6602,0x52688
204,껑,U+AED1,0x9A8C,嚮,6603,0x526C4
205,께,U+AED8,0x9A8D,嚶,6604,0x52700
206,껙,U+AED9,0x9A90,嚼,6607,0x527AC
207,껜,U+AEDC,0x9A91,囁,6608,0x527E8
208,껨,U+AEE8,0x9A92,囃,6609,0x52824
209,껫,U+AEEB,0x9A93,囀,6610,0x52860
210,껭,U+AEED,0x9A94,囈,6611,0x5289C
211,껴,U+AEF4,0x9A96,囑,6613,0x52910
212,껸,U+AEF8,0x9A97,囓,6614,0x5294C
213,껼,U+AEFC,0x9AA5,嗇,6628,0x52C60
214,꼇,U+AF07,0x9AA7,圦,6630,0x52CD4
215,꼈,U+AF08,0x9AA8,圷,6631,0x52D10
216,꼍,U+AF0D,0x9AAB,圻,6634,0x52DBC
217,꼐,U+AF10,0x9AAC,址,6635,0x52DF8
218,꼬,U+AF2C,0x9AAE,坩,6637,0x52E6C
219,꼭,U+AF2D,0x9AAF,埀,6638,0x52EA8
220,꼰,U+AF30,0x9AB0,垈,6639,0x52EE4
221,꼲,U+AF32,0x9AB2,坿,6641,0x52F58
222,꼴,U+AF34,0x9AB3,垉,6642,0x52F94
